+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Module              | Partition | Slices*       | Slice Reg     | LUTs          | LUTRAM        | BRAM/FIFO | DSP48A1 | BUFG  | BUFIO | BUFR  | DCM   | PLL_ADV   | Full Hierarchical Name                |
| ++++u_kon           |           | 2/3           | 1/3           | 4/5           | 0/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_kon          |
| +++++u_konch        |           | 1/1           | 2/2           | 1/1           | 1/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_kon/u_konch  |
| ++++u_mod           |           | 2/2           | 0/0           | 1/1           | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_mod          |
| ++++u_opch_III      |           | 1/1           | 0/0           | 1/1           | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_opch_III     |
| ++++u_opch_IV       |           | 1/1           | 0/0           | 0/0           | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_opch_IV      |
| ++++u_opch_V        |           | 2/2           | 0/0           | 1/1           | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_opch_V       |
| ++++u_opram         |           | 0/0           | 0/0           | 0/0           | 0/0           | 2/2       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_opram        |
| ++++u_regch         |           | 17/17         | 56/56         | 16/16         | 16/16         | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_regch        |
| ++++u_regch_rl      |           | 2/2           | 4/4           | 2/2           | 2/2           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg/u_regch_rl     |
| ++u_op              |           | 73/114        | 54/158        | 178/204       | 5/31          | 0/4       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_op                       |
| +++phasemod_sh      |           | 8/8           | 20/20         | 2/2           | 2/2           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_op/phasemod_sh           |
| +++prev1_buffer     |           | 13/13         | 28/28         | 8/8           | 8/8           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_op/prev1_buffer          |
| +++prev2_buffer     |           | 10/10         | 28/28         | 8/8           | 8/8           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_op/prev2_buffer          |
| +++prevprev1_buffer |           | 10/10         | 28/28         | 8/8           | 8/8           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_op/prevprev1_buffer      |
| +++u_exprom         |           | 0/0           | 0/0           | 0/0           | 0/0           | 2/2       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_op/u_exprom              |
| +++u_phrom          |           | 0/0           | 0/0           | 0/0           | 0/0           | 2/2       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_op/u_phrom               |
| ++u_pg              |           | 74/88         | 105/136       | 190/211       | 14/35         | 2/2       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_pg                       |
| +++u_phsh           |           | 13/13         | 30/30         | 20/20         | 20/20         | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_pg/u_phsh                |
| +++u_rstsh          |           | 1/1           | 1/1           | 1/1           | 1/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_pg/u_rstsh               |
| ++u_timers          |           | 2/18          | 0/24          | 2/41          | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_timers                   |
| +++timer_A          |           | 8/8           | 11/11         | 23/23         | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_timers/timer_A           |
| +++timer_B          |           | 8/8           | 13/13         | 16/16         | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_timers/timer_B           |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

